,Date,Pptn,PET,S,G,ET,streamflow_mm
340,2008-05-31,98.15003717293688,319.512061603125,232.35185793394692,574.1361487193775,77.75022683199495,5.027935670355563
341,2008-06-30,646.3889194920516,164.37126360937495,293.39357984330917,665.8001500447591,81.49677934125066,200.9346181623168
342,2008-07-31,304.8323484678687,122.87396256328122,326.42966055100965,816.2719960366524,78.02526641171427,73.9917520200886
343,2008-08-31,263.47249747039484,108.9505414546875,372.41270569832085,945.7542705740981,74.91733864881098,86.92631140171541
344,2008-09-30,299.54099522428197,127.038061125,409.45014283921984,1014.0471375359427,90.50204255618156,144.64639888360463
345,2008-10-31,16.53860443499015,163.31284726171876,381.81173078475473,992.7582477036341,94.51199239119889,60.383771017809906
346,2008-11-30,3.1491784246718417,169.4608815234375,330.3712784237332,896.6083388434517,71.35887164622545,14.360147898288028
347,2008-12-31,0.40253926898875,180.86405196796875,289.7223886469359,791.1057286416333,49.456595408264555,7.855788153762001
348,2009-01-31,0.06247215072306101,213.63278309999998,259.24384008428103,707.0488857966596,35.548680543433875,5.0480705382317765
349,2009-02-28,0.0,252.38213398125,235.86215991065617,644.3002519153413,20.93842579051852,3.558189992955921
350,2009-03-31,5.253559705799276,314.9838824484375,219.95338208188298,594.5540444979106,15.275239641778171,3.287266374700768
351,2009-04-30,1.5668248444464792,378.34731703125,211.48328325483533,557.3666404300265,9.476049046497794,2.4047212253147774
352,2009-05-31,168.13202850499172,336.9270903328125,229.27489286853424,560.9305216061172,65.90786960441619,2.5878289099118033
353,2009-06-30,79.04504896730681,283.935850875,220.34216355217828,550.725475438436,58.729784796014435,2.893839030604709
354,2009-07-31,401.5313697395505,123.9074882015625,284.4548178642027,633.3145357357557,76.25521067529917,83.57794268043979
355,2009-08-31,238.13226075586132,121.22128644609377,323.0030193533949,793.2500137000958,81.60482794046402,60.720581505699606
356,2009-09-30,256.2941971978859,113.6225418046875,355.4569048563639,915.3621964348688,80.9350807685405,77.61423404165917
357,2009-10-31,164.02695327611636,164.51907738749995,349.0155943593671,931.1587631061515,100.58012295048685,61.47643647156744
358,2009-11-30,20.534558958915085,162.08387296875,312.59793311225036,845.4447491963707,78.15084722824395,13.540698646751746
359,2009-12-31,1.4577139015104184,183.8999758640625,274.03562369397895,750.1063124133698,57.9114803345874,6.81904181326463
360,2010-01-31,0.2509356968794104,212.35170621093755,251.12778589802397,677.6468116185998,41.3172037457116,4.052291676433034
361,2010-02-28,0.2435102380700024,229.50027253125,233.28652098065328,628.0602774847122,27.488278364762664,2.3682392369846137
362,2010-03-31,9.045848499117703,324.97657565625,217.2810867678735,584.6720961704051,18.318655877374113,1.96285058523932
363,2010-04-30,9.566911784936073,408.09150675,211.14732708401158,551.0981090545654,13.367421459406614,1.5011441099788825
364,2010-05-31,102.81805828430836,360.6683546953125,224.61964205259918,540.766759482763,50.79694564919919,4.842037013973718
365,2010-06-30,138.66567196722985,215.889739171875,250.08667498694527,589.2762633429633,79.87727620638907,5.086147367581837
366,2010-07-31,215.30073057789429,117.94834965234377,286.45564319241424,680.3533010995518,71.72707440331578,18.14251273210334
367,2010-08-31,206.9254113055908,110.96631274921873,320.88543266378423,793.989366674936,73.67690624669194,30.50013837478209
368,2010-09-30,218.84769654676984,111.39138225,358.705662197537,918.2851046244299,79.85404785722494,41.34954280045617
